name,address
MtGox-wallet,15U4VsmWG1cdXAtizvQsW4r7iMxzp64Tgu
MtGox-wallet,14mP6caC5dFhHdVAPCjPKM8Nm36MBDR5pM
MtGox-wallet,13sXfpp2V16nnxYvW9FHHoBdMa3k98uJw8
MtGox-wallet,15QcKCa84ZCHxbsqXDoKhi5XbmQB8jPEAd
MtGox-wallet,15SeCwVCFx5cWyrcdD1Zp1D1zxjH2SELPg
MtGox-wallet,13Wv5hGhubAWgSPWtXYh6s1s7HX2N1psYg
MtGox-wallet,13xGCc4TPSYY9GYxBGVNox82KxyjkFnxMX
bitmain.com,18tFSYdTqXeE2w7KJ4rg7jWHR2zxUica4b
bitmain.com,16Yg6dREYfXYqLRbWWV8fuVupdCkpkBaWx
Xapo.com-2,3C5S5JjLoL8Z1SXFc6Sjaoz9uKcFyoJCic
Bittrex.com,1N52wHoVR79PMDishab2XmRHsbekCdGquK
Xapo.com-2,3QkXtcSWJA9w77eCujnMBKDWFe7F7zwxTg
SlushPool.com,1CK6KHY6MHgYvmRQ4PAafKYDrg1ejbH1cE
Xapo.com-2,3FUcTQa2XWHfnCZQmUWEU18xQQeMuMuVgJ
BitMinter.com,19PkHafEN18mquJ9ChwZt5YEFoCdPP5vYB
F2Pool,1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY
Huobi.com,1Lt7etHUD5to8rSFW9USYARP6thzUfco7V
Bitfinex,1Kr6QSydW9bFQG1mXiPNNu6WpJGmUa9i1g
Poloniex.com,12cgpFdJViXbwHbhrA3TuW1EGnL25Zqc3P
Xapo.com-2,3Eab4nDg6WJ5WR1uvWQirtMzWaA34RQk9s
Kraken.com,1DBDgGuZwN2LzeB2ahFRfAZemQpciqSopc
bitmain.com,1EecqizdfUd2CjgwrbwifRD3LhnvCw21uk
Xapo.com-2,3DUFGeoVdHer7h3XRg6H5otHMRBtzGo2NN
Xapo.com-2,3BTN4ZPKZnGJEGSVe9zPe4bTn8Qh39jkbd
Huobi.com,1D27vWhZgLETSAitA4VGhphzjvcVwa6ygJ
Xapo.com-2,3EP4xyWmB8u6ZDmMQHFv1oYPEETUjwMrQV
Xapo.com,3AkcNwhD2RVDwxQ63mywLmQVqRGSSKZsCS
Xapo.com-2,32MRhoyQb4Fh8EpWaw4rDioArrgMfnqbSx
bitcointalk.org,17RTTUAiiPqUTKtEggJPec8RxLMi2n9EZ9
Xapo.com-2,3HpQozfTzoXAsHf87m2mwJXUQ14LVtLgK4
Xapo.com-2,3NPzLv1Jy4vhCgavfz6Zt7injzaHMUuJYk
Huobi.com,13E79QjDpJU94HUnPzfcy313c6wNb3Bsos
Xapo.com-2,3GjEQWyEWSi6fCeWs7sE2UYUaAFcz6RR4q
Xapo.com-2,3EmtSeEEJEGaX7JKpmuupf5N2F4pQ7vDuM
Xapo.com-2,32rtYF8jL4RAfm1sCW8LDj2TcfKGvdVQW6
Xapo.com-2,3HCufpyqXEtHjbdMU9RMWBXzupr4VRUPMR
Huobi.com,12ceuQRXpyM2BzY9vXKPpnkQuu5W7j7sCe
Bitfinex,1PrjPNmtfYkEmnX1DCyu2A1Smg29Ke1maP
Huobi.com,1GoQyKL8afkj9p4jViJ15D4TQ5mnUSrD1D
Bitfinex,1DivaVLgz7AEsnGMD41gwuesgBRmHhUiVr
NucleusMarket,1LDM7MdmimPdyKZLZnmJoRUqRcjHMsakkC
,1FyXSWQsesD4jM35i62wVLu92jVvuMXtND
,18wtyDGvrwyg8mvRxKdq18JhRLocTf146k
,1FNRDfHxHdEw6dUq6XkCAL8YoFjPahqrYk
,1QFcjNBzVd4eWptVQUQaU3FY8vKv4wAciv
,1LvkCJQNxtMC29JYqhvSFigmRn6rzmJ4a1
,14VUt9p8AJ7BqgZWSkscDzSJsEC4KL39Ez
,18EQBVWBfsSqPKD8rDWRgdstAWW33n51cA
,18pqow5PxveVYSFb1dChL6ABqUWD2ijUVi
,13ubEFTkhAjQutt8NPuj4SLe6wtSteaAGn
,19Teqm2eq4QHGd8T5gPkyeqgWdP9waS3B2
,1Nork3FP8dvRPV5Y1a9QocxF1svU4Az8H4
,1AAEnE4JdfZKjFwRER6J1iHCQezh2wr2qw
,1Fe26QD3XC8rxhLw17d5tfU9jTpbhqmnWy
,19nosqpryCTk3VbnqmLGgZhDZg4zwXpzPf
,1NheeyhkQn3S4NZ3E4GYAhiFM5Rk27TkCE
,1LJ8w46WZ1BzNvnTy11M3ZACNL9DyNjQ7a
,15Tub11MSkujDdjCB3pWSCQC1bMHDQUZKW
,1HxGw8bVxMp1Uo6e7PhkPFtzXn5UCgCjad
,1RTbNJdH6ha7XVeB59bFqZeSn9yBB4CaD
,1A4ZicbRdwuSkL8UsaFtmF6vWhwYHnnVVg
,1PqCNwFwq88zSDg6knTXNi5dPsZGrFbYFN
,1HSLXwazj1SGuSwYq9jUpoiDK3XBVqNHWi
,17UbaQFgXv5T7om6MubyJP14EeZ9VExtvQ
,1LA1mw7JZKKVf3LK9KLAJSzQZzNwU9Z3Rj
,16gTeNGieqSAB9K2gbGQMfXFC4QUvNPZ4K
,1GE6345sHqGVg2J4JuRpdVLUPzx5AfuhPN
,172qZuBdEfRZkXmLeGRcZc4ScWfzgi5umF
,16ezbKbky48dBLo4XwpiPsp5LpAun3hT6n
,1DCsyJush6nkstAzFv6UaDb1izYH6FFh7R
,14qkrYrd2HL2ULjaP7bCiS7WBJ7KWr3zK3
,1ELtkXGHsam8RyckR6WdnMTVJuS7CqgBeZ
,1GZ7ivMLyv2JXsna3CA7ayN7SpMpJUQnQd
,1Q3mtTS3ip14uJA7ZR8LcPCVV99wREhquZ
,1aTC96P9P5Ni2a7mtwhMNeCmC2Ht5XYEc
,166J5Rppb6v36LunHFTaKycFsZfNMhsNBa
,1Q3NUaCUjJvNdd5kXT9yDwv8bVGc7P6vNq
,1EuonHMFZUnhWrBm8HW8m9u6km1yHrnycZ
,18nVAr8Fbc6FqC4DEE3T4ib5cUQPWayQKz
,19yiD65av1gAM4cARYwnrq1uZDvhRavTgN
,1BNcaHc54mTy5XgAmN1gkjJd3ATev57Pvr
,15xsMwcGg4EQAGZHrkQXKSVdhZ9yAdopM7
,1MZwDhQGcv9LDVe22cCfEnGjJdEtNGbzrr
,1HBy5QCLt5ur6U4H5A4BLVj4UuAx7vjJjn
